Model,MAE,RMSE,R2
ExtraTrees,2.459918701007391,7.890343955307183,0.953269652502801
GradientBoosting,4.434125157849334,8.43100360501987,0.946646159045646
RandomForest,3.0268971780324687,8.684189663404272,0.943393573443783
AdaBoost,10.88961242560596,13.98320626554847,0.8532356188209205
SVR(RBF),6.892014298124888,23.09386281212475,0.5996864385308454
KNN,8.56917504650382,24.219266139991955,0.5597198568384136
Ridge,18.782584566566655,29.632150578633528,0.3409270557787263
ElasticNet,18.790208709477156,29.634135949129032,0.3408387363157419
Lasso,18.795181466220328,29.635423239010066,0.34078146789691377
LinearRegression,18.79588063398778,29.635685756517873,0.34076978882142095
